sr_no,sector,ministry,agency,project_code,project_name,original_cost,revised_cost,expenditure,physical_progress,original_completion,revised_completion,sanction_date,date_inconsistency_flag,missing_revised_cost_flag,missing_revised_completion_flag,missing_sanction_date_flag
148,Construction,Ministry of Housing & Urban Affairs,Central Public Works Department [CPWD],617282,"C/o 184 MS Flats for Hon'ble MPs at BKS Marg, New Delhi",647,646.52,518.46,98,2025-05-20,2025-08-31,2022-01-21,0,0,0,0
149,Construction,Ministry of Mines,Central Public Works Department (CPWD),617280,"Construction of Basement + Ground Floor+ 10 Storeyed building for State of the Art Director General, GSI Building at plot No.GN-40, Sector-V, Salt Lake, Kolkata",255,,78.34,35,2026-08-31,,2019-04-16,0,1,1,0
150,Education,Department of Higher Education,"Indian Institute of Technology, Bombay",612203,Academic Block 1 & 2,68,263.93,22.15,16,2026-07-31,2027-03-31,,0,0,0,1
151,Education,Department of Higher Education,NIT Patna,606013,Additional Campus of NITPatna,499,,425.47,91,2024-07-31,2026-01-31,2022-07-22,0,1,0,0
152,Education,Department of Higher Education,IISC Bangalore,610940,"Additional Infrastructure at IISc Bangalore-RCC Monolithic for Men Hostel S14, Women Hostel S11 , Postdoctoral Hostel S12 2 Block , International Hostel S 12 , D&E Block S 12 2 Block FR.",420,420.41,360.72,99,2024-03-31,2025-09-30,2021-08-01,0,0,0,0
153,Education,Department of Higher Education,Banaras Hindu University,606479,Banaras Hindu University [ Kayakalp of Institute of Medical Sciences],246,,185.83,93,2022-09-30,2026-03-31,,0,1,0,1
154,Education,Department of Higher Education,National Institute of Technology Uttarakhand,611963,"Construction & Development of Infrastructural Facilities in the main campus of NIT Uttarakhand at Sumari, Pauri Garhwal",651,,130.0,24,2027-09-30,,2020-06-30,0,1,1,0
155,Education,Department of Higher Education,"National Institute of Technology, Meghalaya",612885,Construction and Developement of National Institute of Technology Meghalaya Permanent Campus at Sohra,495,,413.57,86,2022-03-31,2025-07-31,2020-03-04,0,1,0,0
156,Education,Department of Higher Education,Central University of Punjab,617221,"Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block, International Hostel 100 seater, VC Residence and Purchase of Equipment",211,,0.0,0,2027-10-03,,2024-08-01,0,1,1,0
157,Education,Department of Higher Education,"Indian Institute of Management, Jammu",602098,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",425,500.91,484.52,96,2023-06-30,2025-08-31,2019-03-01,0,0,0,0
158,Education,Department of Higher Education,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,606431,CONSTRUCTION OF PERMANENT CAMPUS FOR IIT PALAKKAD UNDER PHASE 1A,1006,1217.4,615.95,66,2022-06-07,2026-11-30,2017-07-01,0,0,0,0
159,Education,Department of Higher Education,Ministry of Education,612876,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl",474,474.23,167.55,4,2029-12-31,2029-12-31,2020-03-04,0,0,0,0
160,Education,Department of Higher Education,Central Tribal University of Andhra Pradesh,613008,Construction of Permanent Campus of Central Tribal University of Andhra Pradesh Phase-1,305,,83.33,24,2027-06-26,,,0,1,1,1
161,Education,Department of Higher Education,Gujarat,612916,"Construction of permanent campus of Central University of Gujarat at Village kundhela, Dist. Vadodara, Gujarat.",491,,301.44,76,2025-03-31,2026-03-31,,0,1,0,1
162,Education,Department of Higher Education,"Central University, Himachal Pradesh",612894,"Construction of Permanent Campus of Central University of Himachal Pradesh at Dehra, District - Kangra, [H.P.] on Engineering. Procurement and Construction [EPC Mode 1] Basis.",252,300.45,183.36,78,2024-11-18,2025-11-30,2021-03-10,0,0,0,0
163,Education,Department of Higher Education,"Indian intitue of Management, Amritsar",605292,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar, Punjab, Phase-I",348,,290.39,91,2023-06-30,2025-12-31,2019-10-01,0,1,0,0
164,Education,Department of Higher Education,"National Institute of Technology, Arunachal Pradesh",612898,Construction of Permanent Campus of National Institute of Technology Arunachal Pradesh,593,,549.96,75,2026-08-31,,,0,1,1,1
165,Education,Department of Higher Education,"Indian Institute of Technology, Hyderabad",609996,Construction of Precast housing and hostels at IIT Hyderabad,262,,164.4,71,2024-10-23,2026-01-01,,0,1,0,1
166,Education,Department of Higher Education,Sikkim University,609736,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South Sikkim",314,,238.22,82,2025-01-04,2025-09-30,2020-08-01,0,1,0,0
167,Education,Department of Higher Education,Delhi University,616886,Delhi University Eastern Campus at Surajmal Vihar,373,,18.03,15,2026-10-31,,,0,1,1,1
168,Education,Department of Higher Education,NIT Nagaland,613013,Establishment of NIT Nagaland,276,,257.82,93,2025-12-31,,,0,1,1,1
169,Education,Department of Higher Education,"National Institute of Technology, Puducherry",612877,Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II],618,544.34,509.24,94,2024-12-31,2025-08-31,2020-03-04,0,0,0,0
170,Education,Department of Higher Education,Ministry of Education,612883,Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District,686,610.76,121.56,7,2028-02-12,2026-12-31,2024-02-12,1,0,0,0
171,Education,Department of Higher Education,"Indian Institute of Management, Sirmaur",602099,Establishment of Permanent campus Phase 1 of IIM Sirmaur,393,454.78,320.75,92,2023-10-31,2026-02-28,2018-09-17,0,0,0,0
172,Education,Department of Higher Education,"Indian Institute of Technology, Kharagpur",609019,"HEFA projects on development of student hostels, playgrounds, departmental buildings, class room complex and other campus facilities in IIT Kharagpur",500,442.0,382.6,87,2023-03-31,2026-03-31,2018-06-25,0,0,0,0
173,Education,Department of Higher Education,"Indian Institute of Technology, Bombay",612135,Hostel 4 -Earlier Known as Hostel 20,182,,132.44,94,2025-09-30,,,0,1,1,1
174,Education,Department of Higher Education,"Indian Institute of Technology, Mandi",612128,Hostel blocks & dining hall block,167,,72.09,58,2026-03-26,2026-03-26,,0,1,0,1
175,Education,Department of Higher Education,"Indian Institutes of Science Education and Research, Behrampur",610315,IISER BERHAMPUR,1229,773.76,835.55,97,2021-03-31,2025-11-30,2018-10-24,0,0,0,0
176,Education,Department of Higher Education,"Indian Institute of Technology, Kharagpur",609041,"IoE Projects [Civil Works], IIT Kharagpur",287,,310.0,86,2023-03-31,2026-12-31,,0,1,0,1
177,Education,Department of Higher Education,Ministry of Education,612851,"Phase 1B - Construction of Academic Block, Hostel, Residential Tower, Directors Residence and External Development works at National Institute of Technology, Delhi Campus on Engineering, Procurement and Construction basis",333,,272.95,88,2025-09-30,,,0,1,1,1
178,Education,Department of Higher Education,"Indian Institute of Technology, Indore",611957,"Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy & Sophisticated lab complex, Academic POD and Infrastructure for center of excellence]",496,,138.6,30,2026-12-31,,,0,1,1,1
179,Education,Department of Higher Education,Tezpur University,606112,Tezpur University Projects,154,,288.87,93,2023-11-08,2025-08-31,2019-05-29,0,1,0,0
180,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],612819,300 MW SPP part of 510 MW CPSU scheme,1813,1813.0,769.57,68,2024-09-27,2025-09-30,,0,0,0,1
181,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],615327,50 MW Solar PP Minedout Area,218,,160.93,46,2025-03-31,2025-09-30,,0,1,0,1
182,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],617299,50 MW Wind Power Project,384,,303.5,41,2025-06-30,2026-01-31,2022-07-21,0,1,0,0
183,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],400259,Ghatampur Thermal Power Plant 3 X 660 MW,17238,21780.9,20135.5,92,2020-11-26,2025-10-31,,0,0,0,1
184,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],400231,NLC Talabira Thermal Power Project,27213,,1938.68,1,2030-03-31,,,0,1,1,1
185,Electricity Generation,Ministry of Power,North Eastern Electric Power Corporation Limited,611699,186 MW Tato-I H E Project,1750,,102.79,2,2029-07-29,,2024-12-11,0,1,1,0
186,Electricity Generation,Ministry of Power,North Eastern Electric Power Corporation Limited,611698,240MW Heo HE Project,1939,,49.31,3,2029-07-29,,2024-12-11,0,1,1,0
187,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602633,382 MW Sunni Dam HEP,2615,,495.57,0,2027-03-31,,,0,1,1,1
188,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,709747,Bagodara Solar Power Project,339,,317.59,51,2025-12-31,2025-12-31,2021-03-26,0,1,0,0
189,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,709748,BIKANER SOLAR POWER PROJECT,5492,,4606.84,82,2024-04-04,2025-12-31,2021-10-04,0,1,0,0
190,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602579,Buxar Thermal Power Project [1320 MW],10439,13756.6,11971.0,92,2024-01-08,2025-11-30,2019-03-08,0,0,0,0
191,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602582,Dhaulasidh Hydro Electric Project [66 MW],688,1511.87,908.65,67,2025-11-05,2027-03-31,2020-10-01,0,0,0,0
192,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],602182,Dibang Multipurpose Project,31876,,3436.38,16,2032-02-26,2032-02-26,2023-02-27,0,1,0,0
193,Electricity Generation,Ministry of Power,Damodar Valley Corporation,602538,Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6,1037,1106.0,1085.39,91,2024-01-22,2025-12-31,,0,0,0,1
194,Electricity Generation,Ministry of Power,THDC India Limited,602194,Khurja super Thermal Power Plant [2X660 MW],11089,13276.2,12429.0,96,2024-02-02,2025-08-31,2019-03-07,0,0,0,0
195,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],602532,Kiru HE Project,4288,,3055.87,66,2023-09-07,2026-03-24,2019-03-08,0,1,0,0
196,Electricity Generation,Ministry of Power,Damodar Valley Corporation,611509,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand",14358,,1116.7,1,2029-03-14,,,0,1,1,1
197,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],605155,Kwar HE Project,4526,,1078.61,23,2026-11-10,,2022-05-10,0,1,1,0
198,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],611930,Lara Super Thermal Power Project Stage-II [2 x 800 MW],15530,,2288.0,14,2028-06-30,,2023-08-29,0,1,1,0
199,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602593,Luhri Stage-I Hydro Electric Project [210 MW],1811,3584.53,1742.92,51,2026-01-19,2029-08-31,2020-11-20,0,0,0,0
200,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,709820,OMKARESHWAR FLOATING SOLAR POWER PROJECT [90 MW],646,,0.0,0,2024-08-31,,,0,1,1,1
201,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],602525,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW",8112,,6916.1,71,2020-04-27,2026-09-28,2014-10-28,0,1,0,0
202,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],400261,Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW],17112,20302.0,17365.0,81,2023-03-31,2026-11-30,2017-11-30,0,0,0,0
203,Electricity Generation,Ministry of Power,Damodar Valley Corporation,400062,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",17673,,1183.7,1,2029-06-30,,,0,1,1,1
204,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],602184,Rammam-III HEPP [3x40 MW],1382,,1266.0,45,2019-09-30,2029-03-31,2024-09-10,1,1,0,0
205,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],605156,Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] -A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,938,1828.11,1554.15,90,2024-05-29,2025-12-28,2021-03-30,0,0,0,0
206,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],602535,"Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.",5282,,1009.79,24,2026-02-10,2029-08-22,2021-02-11,0,1,0,0
207,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],612142,"Singrauli Super Thermal Power Project, Stage-III [2x800 MW]",17195,,1626.0,8,2030-02-28,,2024-03-01,0,1,1,0
208,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],617188,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]",9791,,0.0,0,2029-09-30,,2024-09-19,0,1,1,0
209,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],602096,Subansiri Lower HE Project [2000 MW],6285,26075.5,24685.1,96,2010-09-08,2026-05-31,2003-09-09,0,0,0,0
210,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,611586,Sunni Dam Hydro Electric Project [382 MW],2615,4540.71,956.76,29,2028-04-03,2028-12-31,2023-01-12,0,0,0,0
211,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],602961,Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion,11844,12543.0,3975.0,26,2027-05-31,2028-03-31,2022-08-25,0,0,0,0
212,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],602185,Tapovan-Vishnugad HEP [4x130 MW],2978,10907.3,7123.58,77,2013-03-31,2029-04-30,,0,0,0,1
213,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],602181,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]",5748,5748.04,4495.28,68,2024-03-07,2027-12-31,2019-03-08,0,0,0,0
214,Electricity Generation,Ministry of Power,THDC India Limited,602193,Tehri Pumped Storage Plant Project [4x250 MW],4826,8339.0,7939.82,98,2022-06-16,2025-11-15,2006-07-08,0,0,0,0
215,Electricity Generation,Ministry of Power,THDC India Limited,602195,Vishnugad Pipalkoti Hydro Electric Project [444 MW],3860,6823.72,4828.89,72,2022-12-15,2027-03-31,2008-08-21,0,0,0,0
216,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,604833,"Andheri Residential Towers, Mumbai",281,389.67,227.54,50,2025-05-31,2026-06-30,,0,0,0,1
217,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701269,"Construction of 80,000 MT LPG Cavern at Mangalore",854,854.0,712.3,99,2022-12-19,2025-08-31,,0,0,0,1
218,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,616235,Construction of Aviation Fuel farm Facilities at Bhogapuram Airport,240,240.0,31.23,50,2026-03-31,2026-03-31,,0,0,0,1
219,Energy Storage,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,709754,"Construction of LPG Facilities at Kamardanga, Assam",156,156.36,49.78,39,2027-07-04,2027-07-04,,0,0,0,1
220,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],400077,"Grass root POL Terminal at Vallur, Chennai",827,887.71,619.5,85,2024-12-31,2026-03-31,,0,0,0,1
221,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],400035,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot",656,656.0,465.73,84,2025-09-30,2025-09-30,,0,0,0,1
222,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,604852,"Grass-root Terminal at Mirzapur, Uttar Pradesh",980,980.45,236.22,50,2026-11-30,2026-11-30,,0,0,0,1
223,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,400012,Kandla Gorakhpur LPG Pipeline,10088,,7598.13,92,2021-12-30,2025-12-31,2018-12-31,0,1,0,0
224,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,400043,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],829,829.0,297.77,62,2026-05-31,2026-05-31,,0,0,0,1
225,Energy Storage,Ministry of Petroleum & Natural Gas,"Department of Water Resources, River Development & GR",400301,Multi Product Pipeline from Irugur to Devangonthi,678,1732.0,675.25,67,2017-02-25,2025-10-31,,0,0,0,1
226,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,400078,New Mundra Panipat Crude Oil Pipeline,9028,9028.0,7071.08,84,2024-12-19,2025-12-31,,0,0,0,1
227,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701349,Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] at Paradip,10228,11407.0,9701.95,86,2024-07-27,2025-09-30,,0,0,0,1
228,Energy Storage,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited [HPCL],709759,"Petrochemical evacuation marketing terminal at Barmer, Rajasthan",461,461.05,111.57,51,2026-12-06,2026-12-06,,0,0,0,1
229,Energy Storage,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,701263,Rajasthan Refinery Project,43129,72937.0,59524.4,87,2022-10-31,2026-03-31,,0,0,0,1
230,Energy Storage,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],400235,"Setting up a common user Petroleum Terminal at Jammu, J&K for resitement of existing PSU OMC's Depots from Jammu City",677,676.89,518.22,77,2025-03-31,2025-09-30,,0,0,0,1
231,Energy Storage,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited [HPCL],709755,"Setting up of new rail fed POL facility at Kamardanga, Assam",384,384.04,110.44,48,2027-07-04,2027-07-04,,0,0,0,1
232,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701343,Srikakulam Angul Gas Pipeline Project,2658,2810.0,2192.68,94,2022-07-22,2025-12-31,,0,0,0,1
233,Healthcare,Ministry of Health & Family Welfare,Ministry of Health & Family Welfare,701171,AIIMS Bibinagar,1028,1365.95,792.24,83,2022-09-30,2025-12-31,2018-12-17,0,0,0,0
234,Healthcare,Ministry of Health & Family Welfare,Central Public Works Department [CPWD],701167,AIIMS Kashmir at Awantipora Jammu & Kashmir,1828,1828.0,1504.91,65,2025-01-31,2025-12-02,2019-01-10,0,0,0,0
235,Healthcare,Ministry of Health & Family Welfare,Ministry of Health & Family Welfare,701173,AIIMS Majra Rewari Haryana,1299,,349.41,28,2023-02-27,2026-12-31,,0,1,0,1
236,Healthcare,"Ministry of Ports, Shipping and Waterways",Mumbai Port Trust [MPT],708662,Establishment of 600 bed super specialty hospital with optional development of Medical college and further expansion on PPP basis.,693,693.0,58.0,0,2026-06-30,2027-12-31,2019-08-13,0,0,0,0
237,Inland Waterways,Ministry of Housing & Urban Affairs,Chennai Metro Rail Limited [CMRL],702668,Chennai Metro Rail Phase-II Development Project,63246,,47162.7,0,2029-08-31,,2024-10-18,0,1,1,0
238,Inland Waterways,"Ministry of Ports, Shipping and Waterways",Deendayal Port Trust [DPT],609424,"Development of Container Terminal at Tuna-Tekra, Deendayal Port on BOT Basis Under PPP Mode",4244,,346.2,10,2026-12-26,,,0,1,1,1
239,Inland Waterways,"Ministry of Ports, Shipping and Waterways",Inland Waterways Authority of India [IWAI],701565,Jal Marg Vikas Project,5369,5061.15,3432.34,70,2023-12-31,2025-12-31,2018-01-03,0,0,0,0
240,Inland Waterways,Ministry of Railways,East Coast Railway [ECoR] - II,705515,3rd & 4th Railway Line Project from Salegaon to Budhapank via Rajathgarh.,1173,2092.0,1971.0,80,2026-03-31,2026-03-31,2013-07-11,0,0,0,0
241,Inland Waterways,Ministry of Railways,East Coast Railway [ECoR] - II,705742,Jeypore-Malkanagiri New Railway Line Project,2344,2344.0,196.75,8,2033-07-31,2033-07-31,2018-02-18,0,0,0,0
242,Inland Waterways,Ministry of Railways,East Coast Railway [ECoR] - II,705741,Jeypore-Navarangpur New Rail Line Project,748,748.0,10.43,1,2028-07-31,2029-12-31,2017-07-04,0,0,0,0
243,Metals & Mining,Ministry of Mines,National Aluminium Company Limited [NALCO],709832,25.5 MW WIND POWER PROJECT AT KAYATHAR IN TAMILNADU,166,,135.0,65,2025-03-31,2026-03-31,2017-09-27,0,1,0,0
244,Metals & Mining,Ministry of Mines,Ministry of Mines,709830,CONVERSION OF FLAT BOTTOM SETTLERS AND WASHERS WITH A SINGLE TRAIN OF HRDS AND DCWS IN STREAMS 1 AND,355,581.0,0.0,0,2026-11-30,,,0,0,1,1
245,Metals & Mining,Ministry of Mines,National Aluminium Company Limited [NALCO],400141,Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity enhancement of 1.0 Million Tonee Per Annum,4103,5677.4,3913.98,75,2022-12-31,2025-09-30,2017-04-21,0,0,0,0
246,Metals & Mining,Ministry of Mines,Hindustan Copper Limited [HCL],400426,Expansion of Malanjkhand Copper Project,1856,,924.98,79,2020-04-30,2026-04-30,2011-09-30,0,1,0,0
247,Metals & Mining,Ministry of Mines,National Aluminium Company Limited [NALCO],400299,Pottangi Bauxite Mines Project,1381,1960.77,650.04,51,2025-03-31,2026-05-31,2018-05-14,0,0,0,0
248,Metals & Mining,Ministry of Mines,Hindustan Copper Limited [HCL],611798,Rakha Underground Mining Project,2705,,0.0,0,2033-03-31,,2022-12-16,0,1,1,0
249,Metals & Mining,Ministry of Mines,National Aluminium Company Limited [NALCO],709831,SOURCING OF BAUXITE ARRANGEMENT FOR 5TH STREAM ALUMINA REFINERY FROM SOUTH BLOCK MINING LEASE OF PANCHPATMAILI MINES,483,,403.44,90,2025-05-31,2026-06-30,2017-11-11,0,1,0,0
250,Metals & Mining,Ministry of Mines,Hindustan Copper Limited [HCL],611800,Surda Underground Copper Mining Project,665,,13.33,1,2028-03-31,,2022-02-12,0,1,1,0
251,Metals & Mining,Ministry of Mines,National Aluminium Company Limited [NALCO],709829,UTKAL D AND E COAL BLOCK,1022,,0.0,0,2025-03-31,,,0,1,1,1
252,Metals & Mining,Ministry of Steel,National Mineral Development Corporation Limited [NMDC],615202,Capacity expansion of Deposit-14 and 14 NMZ at Kirandul,1700,1756.2,65.44,2,2028-12-31,2028-03-27,2021-08-12,1,0,0,0
253,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited [HPCL],400171,2G Ethanol Biorefinery at Bathinda,1421,1421.46,1180.91,95,2023-02-18,2026-03-31,,0,0,0,1
254,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,400168,"500 KTA PDHPP Project, Usar",8797,11256.0,6768.36,85,2025-04-08,2025-10-31,,0,0,0,1
255,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],709801,71 MWp [DC] Solar power project at Prayagraj,308,,183.37,95,2025-08-02,,2024-02-02,0,1,1,0
256,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,604792,"Assam Bio Refinery, ABRPL",1750,4200.0,4650.0,99,2021-09-30,2025-07-31,,0,0,0,1
257,Oil & Gas,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],709782,ATF Pipeline from Jawaharlal Nehru Port Trust to Navi Mumbai International Airport,165,165.0,89.94,72,2025-08-21,2026-03-31,,0,0,0,1
258,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709786,"Augmentation/ Revamping of Dimapur Depot, Dimapur",228,227.62,9.01,20,2027-11-30,2027-11-30,,0,0,0,1
259,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709776,Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi,277,323.09,185.18,67,2026-09-30,2026-09-30,,0,0,0,1
260,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701324,Barauni Refinery Capacity Expansion from 6.0 to 9.0 MMTPA,14810,16724.0,11728.0,87,2023-04-30,2026-08-31,,0,0,0,1
261,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,612998,Bathinda Sangrur Pipeline,367,397.0,339.19,93,2024-05-01,2025-08-31,,0,0,0,1
262,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,709850,Borholla GGS Life Extension Project [BLEP],199,198.7,36.78,29,2026-05-16,2026-05-16,,0,0,0,1
263,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709779,Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA,768,740.0,99.02,35,2026-03-08,2026-03-08,,0,0,0,1
264,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701289,Capacity Expansion of Panipat Refinery from 15 to 25 MMTPA,34627,36225.0,23977.5,88,2024-09-30,2025-12-31,,0,0,0,1
265,Oil & Gas,Ministry of Petroleum & Natural Gas,Chennai Petroleum Corporation Limited [CPCL],604795,CBR 9 MMTPA Project,31580,36354.0,1342.27,10,2025-06-02,2028-10-31,,0,0,0,1
266,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,709757,"CGD Project in Banka, Dumka, Godda, Jamtara, Pakur, Sahibganj GA ID 11A.02",1377,1377.0,329.43,26,2030-06-30,2030-06-30,,0,0,0,1
267,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,709758,"CGD Project in Malda, Birbhum, Murshidabad, Dakshin Dinajpur GA ID 11A.03",2628,2628.0,332.52,26,2030-06-30,2030-06-30,,0,0,0,1
268,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701338,City Gas Distribution Maharashtra Natural Gas Limited,5535,5535.0,3836.09,0,2031-06-08,2031-06-08,,0,0,0,1
269,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709771,"City Gas Distribution Project at Beed, Jalgaon and Jalna Districts",865,865.0,68.01,2,2031-09-30,2031-09-30,,0,0,0,1
270,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709768,City Gas Distribution Project at Dharmapuri and Krishnagiri Districts,501,501.0,111.55,5,2030-12-31,2030-12-31,,0,0,0,1
271,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709772,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts",609,609.0,58.15,2,2031-06-30,2031-06-30,,0,0,0,1
272,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709773,"City Gas Distribution Project at Jammu, Udhampur, Reasi, Samba and Kathua Districts",538,538.0,4.09,0,2032-03-31,2032-03-31,,0,0,0,1
273,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,617303,"City Gas Distribution Project at Khagaria, Saharsa and Madhepura",163,163.0,95.54,40,2030-03-31,2030-03-31,,0,0,0,1
274,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709766,"City Gas Distribution Project at Kurnool, Guntur & Prakasam Districts",1420,1420.0,162.47,6,2030-03-31,2030-03-31,,0,0,0,1
